Question_Number,Question_Text,Answer_A,Answer_B,Answer_C,Correct_Answer
1,"(Art. 4 ust. 1) Bronią, w rozumieniu ustawy o broni i amunicji, nie jest:","broń palna;","broń pneumatyczna;","broń ostra.","C"
95,"(Art. 15 ust. 5) W przypadku ujawnienia okoliczności dostatecznie uzasadniających podejrzenie, iż osoba posiadająca pozwolenie na broń lub zarejestrowaną broń pneumatyczną należy do osób uzależnionych od alkoholu lub od substancji psychoaktywnych, właściwy organ Policji może:","zobowiązać tę osobę do niezwłocznego poddania się badaniom lekarskim i psychologicznym i przedstawienia wydanych orzeczeń;","zobowiązać tę osobę do niezwłocznego poddania się badaniom lekarskim i przedstawienia wydanego orzeczenia;","zobowiązać tę osobę do niezwłocznego poddania się badaniom psychologicznym i przedstawienia wydanego orzeczenia.","A"
96,"(Art. 15h ust. 1) Od orzeczenia lekarskiego lub psychologicznego przysługuje odwołanie:","nie przysługuje odwołanie;","wnoszone ustnie;","wnoszone na piśmie.","C"
97,"(Art. 15h ust. 2) Odwołanie od orzeczenia lekarskiego lub psychologicznego przysługuje:","wyłącznie komendantowi wojewódzkiemu Policji właściwemu ze względu na miejsce zamieszkania osoby ubiegającej się o pozwolenie na broń;","osobie ubiegającej się o pozwolenie na broń oraz komendantowi wojewódzkiemu Policji właściwemu ze względu na miejsce zamieszkania tej osoby;","wyłącznie osobie ubiegającej się o pozwolenie na broń.","B"
98,"(Art. 15h ust. 3) Odwołanie od orzeczenia lekarskiego lub psychologicznego wraz z jego uzasadnieniem wnosi się w terminie:","7 dni od dnia doręczenia orzeczenia;","30 dni od dnia doręczenia orzeczenia;","14 dni od dnia doręczenia orzeczenia.","B"
99,"(Art. 17 ust. 1) Właściwy organ Policji może odmówić wydania pozwolenia na broń osobie, która naruszyła:","warunki określone w pozwoleniu na broń dotyczące ograniczenia lub wykluczenia jej noszenia;","przepisy regulaminu określającego zasady zachowania bezpieczeństwa na strzelnicy;","obowiązek zawiadomienia o zmianie miejsca zameldowania.","A"
100,"(Art. 17 ust. 1) Właściwy organ Policji może odmówić wydania pozwolenia na broń osobie, która naruszyła:","obowiązek pisemnego zgłoszenia przywozu broni lub amunicji przy przekraczaniu granicy;","przepisy regulaminu określającego zasady zachowania bezpieczeństwa na strzelnicy;","obowiązek zawiadomienia o zmianie miejsca stałego pobytu.","C"
101,"(Art. 17 ust. 1) Właściwy organ Policji może odmówić wydania pozwolenia na broń osobie, która:","została ukarana mandatem za wykroczenie w ruchu drogowym;","naruszyła obowiązek rejestracji broni w ciągu 5 dni od dnia jej nabycia;","naruszyła obowiązek pisemnego zgłoszenia przywozu broni lub amunicji przy przekraczaniu granicy.","B"
102,"(Art. 18 ust. 1) Właściwy organ Policji cofa pozwolenie na broń, jeżeli osoba, której takie pozwolenie wydano:","naruszyła zasady przechowywania broni;","posiada przy sobie magazynek do broni, której nie posiada;","nie przestrzega warunków określonych w pozwoleniu na broń dotyczących ograniczenia lub wykluczenia jej noszenia.","C"
103,"(Art. 18 ust. 1) Właściwy organ Policji cofa pozwolenie na broń, jeżeli osoba, której takie pozwolenie wydano:","naruszyła obowiązek zawiadomienia o utracie broni;","nie zawiadomiła o zmianie szafy do przechowywania broni;","nie zawiadomiła o wyjeździe z bronią na zawody sportowe za granicę.","A"
104,"(Art. 18 ust. 1) Właściwy organ Policji cofa pozwolenie na broń, jeżeli osoba, której takie pozwolenie wydano:","została skazana prawomocnym orzeczeniem sądu w sprawie o wykroczenie;","zostały jej przedstawione zarzuty popełnienia przestępstwa umyślnego;","została skazana prawomocnym orzeczeniem sądu za umyślne przestępstwo lub umyślne przestępstwo skarbowe.","C"
105,"(Art. 18 ust. 1) Właściwy organ Policji cofa pozwolenie na broń, jeżeli osoba, której takie pozwolenie wydano:","przemieszcza się z rozładowaną bronią, znajdując się w stanie po użyciu alkoholu, środka odurzającego lub substancji psychotropowej albo środka zastępczego;","nosi broń znajdując się w stanie po użyciu alkoholu, środka odurzającego lub substancji psychotropowej albo środka zastępczego;","odpowiedzi a. i b. są prawidłowe.","C"
106,"(Art. 18 ust. 2) Właściwy organ Policji cofa dopuszczenie do posiadania broni, jeżeli osoba dopuszczona do posiadania broni:","naruszyła obowiązek zawiadomienia o utracie broni;","przemieszcza się z rozładowaną bronią albo nosi broń, znajdując się w stanie po użyciu alkoholu, środka odurzającego lub substancji psychotropowej albo środka zastępczego;","odpowiedzi a. i b. są prawidłowe.","C"
107,"(Art. 18 ust. 2) Właściwy organ Policji cofa dopuszczenie do posiadania broni, jeżeli osoba dopuszczona do posiadania broni:","przemieszcza się z rozładowaną bronią, znajdując się w stanie po użyciu alkoholu, środka odurzającego lub substancji psychotropowej albo środka zastępczego;","nosi broń znajdując się w stanie po użyciu alkoholu, środka odurzającego lub substancji psychotropowej albo środka zastępczego;","odpowiedzi a. i b. są prawidłowe.","C"
108,"(Art. 18 ust. 2) Właściwy organ Policji cofa dopuszczenie do posiadania broni, jeżeli osoba dopuszczona do posiadania broni:","została skazana prawomocnym orzeczeniem sądu za umyślne przestępstwo lub umyślne przestępstwo skarbowe;","została skazana prawomocnym orzeczeniem sądu w sprawie o wykroczenie;","zostały jej przedstawione zarzuty popełnienia umyślnego przestępstwa.","A"
109,"(Art. 18 ust. 4) Jeżeli ustały okoliczności faktyczne, które stanowiły podstawę do wydania pozwolenia na broń, właściwy organ Policji:","może zawiesić pozwolenie na broń;","może cofnąć pozwolenie na broń;","cofa pozwolenie na broń.","B"
110,"(Art. 18 ust. 5) Właściwy organ Policji może cofnąć pozwolenie na broń w przypadku naruszenia przez osobę posiadającą pozwolenie:","przepisów regulaminu określającego zasady zachowania bezpieczeństwa na strzelnicy;","obowiązku rejestracji broni w ciągu 5 dni od dnia jej nabycia;","obowiązku pisemnego zgłoszenia przywozu broni lub amunicji przy przekraczaniu granicy.","B"
111,"(Art. 18 ust. 5) Właściwy organ Policji może cofnąć pozwolenie na broń w przypadku naruszenia przez osobę posiadającą pozwolenie:","obowiązku zawiadomienia właściwego organu o zmianie miejsca stałego pobytu;","obowiązku zawiadomienia właściwego organu o miejscu przechowywania broni;","obowiązku zawiadomienia organu o użyczeniu broni.","A"
112,"(Art. 18 ust. 5) Właściwy organ Policji może cofnąć pozwolenie na broń w przypadku naruszenia przez osobę posiadającą pozwolenie:","zasad przechowywania, noszenia oraz ewidencjonowania broni i amunicji;","wymogu uzyskania zgody na wywóz broni i amunicji za granicę;","odpowiedzi a. i b. są prawidłowe.","C"
113,"(Art. 18 ust. 5) Właściwy organ Policji może cofnąć pozwolenie na broń w przypadku:","używania broni palnej oraz innej broni zdolnej do rażenia celów na odległość, w celach szkoleniowych i sportowych poza strzelnicą;","naruszenia przez osobę posiadającą pozwolenie zakazu użyczania broni osobie nieupoważnionej;","odpowiedzi a. i b. są prawidłowe.","C"
114,"(Art. 18 ust. 6) Właściwy organ Policji może cofnąć dopuszczenie do posiadania broni w przypadku naruszenia przez osobę dopuszczoną do posiadania broni","obowiązku zawiadomienia właściwego organu o zmianie miejsca stałego pobytu;","obowiązku zawiadomienia właściwego organu o miejscu przechowywania broni;","obowiązku zawiadomienia organu o użyczeniu broni.","A"
115,"(Art. 18 ust. 6) Właściwy organ Policji może cofnąć dopuszczenie do posiadania broni w przypadku:","naruszenia przez osobę dopuszczoną do posiadania broni zakazu użyczania broni osobie nieupoważnionej;","używania broni palnej oraz innej broni zdolnej do rażenia celów na odległość, w celach szkoleniowych i sportowych poza strzelnicą;","odpowiedzi a. i b. są prawidłowe.","B"
116,"(Art. 18 ust. 8) Osoba, której cofnięto pozwolenie na broń, dopuszczenie do posiadania broni lub której unieważniono kartę rejestracyjną broni, jest zobowiązana zwrócić dokumenty potwierdzające legalność posiadania broni i amunicji do właściwego organu Policji w terminie:","14 dni od dnia otrzymania ostatecznej decyzji o cofnięciu pozwolenia na broń, dopuszczenia do posiadania broni lub unieważnienia karty;","30 dni od dnia otrzymania ostatecznej decyzji o cofnięciu pozwolenia na broń, dopuszczenia do posiadania broni lub unieważnienia karty;","7 dni od dnia otrzymania ostatecznej decyzji o cofnięciu pozwolenia na broń, dopuszczenia do posiadania broni lub unieważnienia karty.","C"
117,"(Art. 19 ust. 1) W przypadku ujawnienia, że osoba posiadająca broń zgodnie z przepisami, została skazana prawomocnym orzeczeniem sądu za umyślne przestępstwo, a zwłoka zagrażałaby bezpieczeństwu publicznego, Policja może:","za pokwitowaniem odebrać broń i amunicję oraz dokumenty potwierdzające legalność posiadania broni;","za pokwitowaniem odebrać wyłącznie broń i amunicję;","za pokwitowaniem odebrać wyłącznie dokumenty potwierdzające legalność posiadania broni.","A"
118,"(Art. 19 ust. 1) W przypadku ujawnienia, że osoba posiadająca broń zgodnie z przepisami, narusza zasady przechowywania, noszenia oraz ewidencjonowania broni i amunicji, a zwłoka zagrażałaby bezpieczeństwu publicznego, Policja może:","za pokwitowaniem odebrać wyłącznie broń i amunicję;","za pokwitowaniem odebrać broń i amunicję oraz dokumenty potwierdzające legalność posiadania broni;","za pokwitowaniem odebrać wyłącznie dokumenty potwierdzające legalność posiadania broni.","B"
119,"(Art. 19 ust. 1a) Policja może za pokwitowaniem odebrać broń i amunicję oraz dokumenty potwierdzające legalność posiadania broni osobie posiadającej broń zgodnie z przepisami, przeciwko której toczy się postępowanie karne o umyślne przestępstwo lub umyślne przestępstwo skarbowe, do czasu prawomocnego zakończenia tego postępowania, na okres nie dłuższy niż:","3 lata;","4 lata;","2 lata.","A"
120,"(Art. 20) Cofnięcie pozwolenia na broń, dopuszczenia do posiadania broni oraz unieważnienie karty rejestracyjnej broni pneumatycznej następuje:","w drodze zaświadczenia;","w drodze postanowienia;","w drodze decyzji administracyjnej.","C"
121,"(Art. 21 ust. 1) Dopuszcza się zbywanie broni i amunicji do tej broni:","pomiędzy osobami posiadającymi pozwolenie na ten sam rodzaj broni;","wyłącznie pomiędzy osobami posiadającymi pozwolenie na broń do celów sportowych i łowieckich;","zbywanie broni i amunicji do tej broni pomiędzy posiadaczami pozwolenia na broń jest zabronione.","A"
122,"(Art. 21 ust. 2) Zbywający broń i amunicję do tej broni obowiązany jest powiadomić pisemnie o tym fakcie właściwy organ Policji:","w ciągu 7 dni;","niezwłocznie;","w ciągu 14 dni.","B"
123,"(Art. 21 ust. 2) Powiadomienie właściwego organu Policji o zbyciu broni i amunicji do tej broni może nastąpić:","ustnie;","telefonicznie;","tylko pisemnie.","C"
124,"(Art. 22 ust. 1) Osoba, która utraciła uprawnienie do posiadania broni lub której unieważniono kartę rejestracyjną broni pneumatycznej, obowiązana jest zbyć broń i amunicję do tej broni:","niezwłocznie;","w ciągu 7 dni;","w ciągu 30 dni.","A"
125,"(Art. 22 ust. 1) Osoba, która utraciła uprawnienie do posiadania broni lub której unieważniono kartę rejestracyjną broni pneumatycznej, jest obowiązana niezwłocznie:","powiadomić o miejscu przechowywania broni i amunicji najbliższą jednostkę Policji;","zbyć broń i amunicję do tej broni;","przekazać klucze do szafy na broń osobie, która posiada pozwolenie na broń.","B"
126,"(Art. 22 ust. 1a) Osoba, która utraciła uprawnienie do posiadania broni lub której unieważniono kartę rejestracyjną broni pneumatycznej, jest obowiązana niezwłocznie:","złożyć broń i amunicję do tej broni do depozytu;","zbyć lub pozbawić broń palną cech użytkowych;","przekazać klucze do szafy na broń osobie, która posiada pozwolenie na broń.","B"
127,"(Art. 22 ust. 3) W przypadku utraty pozwolenia na broń, jeżeli broń nie zostanie zbyta, należy ją złożyć wraz z amunicją do depozytu właściwego organu Policji:","w terminie 30 dni od utraty pozwolenia;","w terminie 14 dni od utraty pozwolenia;","w terminie 7 dni od utraty pozwolenia.","A"
128,"(Art. 23 ust. 1) Koszty związane z deponowaniem broni i amunicji w przypadku utraty pozwolenia na broń ponosi:","w opisanym przypadku deponowanie broni i amunicji jest bezpłatne;","Policja;","osoba, która utraciła prawo do posiadania broni i amunicji do niej.","C"
129,"(Art. 25) Posiadacz broni w przypadku jej utraty jest zobowiązany niezwłocznie, nie później jednak niż w ciągu 24 godzin od chwili stwierdzenia utraty broni:","zawiadomić o tym Policję albo Żandarmerię Wojskową;","zawiadomić o tym Policję albo Prokuraturę;","zawiadomić o tym Policję albo Straż Graniczną.","A"
130,"(Art. 25) Posiadacz broni w przypadku jej utraty jest zobowiązany zawiadomić o tym Policję albo Żandarmerię Wojskową:","niezwłocznie, nie później jednak niż w ciągu 72 godzin od chwili stwierdzenia utraty broni;","niezwłocznie, nie później jednak niż w ciągu 48 godzin od chwili stwierdzenia utraty broni;","niezwłocznie, nie później jednak niż w ciągu 24 godzin od chwili stwierdzenia utraty broni.","C"
131,"(Art. 26) Osoba posiadająca pozwolenie na broń lub posiadająca broń podlegającą rejestracji, która nie wymaga pozwolenia na broń, jest obowiązana w razie zmiany miejsca stałego pobytu zawiadomić o tym fakcie pisemnie, organ Policji właściwy ze względu na nowe miejsce stałego pobytu:","w terminie 14 dni od dnia zmiany miejsca stałego pobytu;","w terminie 30 dni od dnia zmiany miejsca stałego pobytu;","w terminie 7 dni od dnia zmiany miejsca stałego pobytu.","A"
132,"(Art. 26) Osoba posiadająca pozwolenie na broń lub posiadająca broń podlegającą rejestracji, która nie wymaga pozwolenia na broń, jest obowiązana w razie zmiany miejsca stałego pobytu zawiadomić o tym fakcie pisemnie, w terminie 14 dni od dnia zmiany miejsca stałego pobytu:","organ Policji właściwy ze względu na dotychczasowe lub nowe miejsce stałego pobytu;","organ Policji właściwy ze względu na nowe miejsce stałego pobytu;","organ Policji właściwy ze względu na dotychczasowe miejsce stałego pobytu.","B"
133,"(Art. 28) Broni odpowiadającej celom łowieckim i broni odpowiadającej celom sportowym oraz amunicji do takiej broni można użyczać osobom posiadającym pozwolenie na broń wydane w celach:","kolekcjonerskich lub sportowych;","łowieckich lub sportowych;","szkoleniowych lub łowieckich.","B"
134,"(Art. 28) Osoby posiadające pozwolenie na broń wydane w celach łowieckich lub sportowych mogą użyczać broń odpowiadającą celom łowieckim lub sportowym od osób posiadających pozwolenie wydane w celu:","sportowym;","kolekcjonerskim;","odpowiedzi a. i b. są prawidłowe.","C"
135,"(Art. 29 ust. 1) Świadectwo broni może być wydane:","podmiotom prowadzącym strzelnicę;","osobom fizycznym posiadającym pozwolenie na broń;","prywatnym placówkom muzealnym.","A"
136,"(Art. 29 ust. 1) Świadectwo broni może być wydane:","osobom fizycznym wpisanym na listę kwalifikowanych pracowników ochrony fizycznej;","podmiotom wykonującym zadania związane z realizacją filmów i innych przedsięwzięć artystycznych;","osobom posiadającym dopuszczenie do posiadania broni.","B"
137,"(Art. 29 ust. 2) Świadectwo na broń, uprawniające do posiadania samoczynnej broni palnej zdolnej do rażenia celów na odległość, może być wydane:","organizatorom kursów, kształcącym w zawodzie pracownika ochrony;","stowarzyszeniom strzeleckim;","podmiotom prowadzącym strzelnicę.","A"
138,"Dopuszczenie do posiadania broni uprawnia osoby fizyczne do:","korzystania z broni na strzelnicy bez nadzoru prowadzącego strzelanie;","posługiwania się bronią podmiotów posiadających świadectwo broni, przy wykonywaniu zadań w ramach prowadzonej działalności;","odpowiedzi a. i b. są prawidłowe.","B"
139,"(Art. 30 ust. 1) Dopuszczenia do posiadania broni nie wydaje się osobom:","o znacznie ograniczonej sprawności psychofizycznej;","niemającym ukończonych 24 lat;","używającym alkoholu.","A"
140,"(Art. 30 ust. 1) Dopuszczenia do posiadania broni nie wydaje się osobom:","wykazującym istotne zaburzenia funkcjonowania psychologicznego;","o obniżonej sprawności fizycznej;","niemającym ukończonych 24 lat.","A"
141,"(Art. 30 ust. 1) Dopuszczenia do posiadania broni nie wydaje się osobom:","które nie ukończyły 24 lat;","uzależnionym od alkoholu lub od substancji psychoaktywnych;","o obniżonej sprawności fizycznej.","B"
142,"(Art. 30 ust. 1) Dopuszczenia do posiadania broni nie wydaje się osobom:","nieposiadającym miejsca stałego pobytu na terytorium Rzeczypospolitej Polskiej;","nieposiadającym miejsca zameldowania na terytorium Rzeczypospolitej Polskiej;","niebędącym obywatelami Rzeczypospolitej Polskiej.","A"
143,"(Art. 30 ust. 1) Dopuszczenia do posiadania broni nie wydaje się osobom:","skazanym prawomocnym orzeczeniem sądu w sprawie o wykroczenie;","skazanym prawomocnym orzeczeniem sądu za umyślne przestępstwo lub umyślne przestępstwo skarbowe;","skazanym prawomocnym orzeczeniem sądu za nieumyślne przestępstwo przeciwko mieniu.","B"
144,"(Art. 30 ust. 2) Dopuszczenie do posiadania broni następuje:","w drodze postanowienia;","w drodze zaświadczenia;","w drodze decyzji administracyjnej.","C"
145,"(Art. 32 ust. 1) Broń i amunicję należy przechowywać w sposób:","uniemożliwiający dostęp do nich osób nieuprawnionych;","zapobiegający ich uszkodzeniu;","niezagrażający innym osobom.","A"
146,"(§3 ust. 1 rozporządzenia w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji) Podmioty posiadające broń i amunicję na podstawie pozwolenia na broń na okaziciela, przechowują broń i amunicję:","w magazynie broni;","w urządzeniach spełniających wymagania co najmniej klasy S1 według normy PN-EN 14450;","odpowiedzi a. i b. są prawidłowe.","C"
147,"(§3 ust. 2 rozporządzenia w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji) Podmioty posiadające broń i amunicję na podstawie pozwolenia na broń na okaziciela, przechowują broń:","z odłączonym magazynkiem, w stanie rozładowanym;","z podłączonym magazynkiem, w stanie rozładowanym;","z podłączony magazynkiem, w stanie załadowanym.","A"
148,"(§3 ust. 3 rozporządzenia w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji) Podmioty posiadające broń i amunicję na podstawie pozwolenia na broń na okaziciela, przechowują amunicję:","w magazynkach nabojowych;","w pudełkach lub pojemnikach, w sposób uniemożliwiający uderzenie w spłonkę naboju;","w dowolny sposób, umożliwiający szybki dostęp do amunicji.","B"
149,"(§5 ust. 1 rozporządzenia w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji) Osoby posiadające broń i amunicję do niej na podstawie pozwolenia przechowują broń i amunicję:","w urządzeniach spełniających wymagania co najmniej klasy S2 według normy PN-EN 14450;","w urządzeniach spełniających wymagania co najmniej klasy S1 według normy PN-EN 14450;","w urządzeniach spełniających wymagania co najmniej klasy 0 według normy PN-EN 1143-1.","B"
150,"(§5 ust. 2 rozporządzenia w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji) W pomieszczeniu wyposażonym w dodatkowe zabezpieczenia, określone w rozporządzeniu w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji, przechowuje się broń w liczbie:","powyżej 100 egzemplarzy;","powyżej 50 egzemplarzy;","powyżej 20 egzemplarzy.","B"
151,"(§6 ust. 1 rozporządzenia w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji) Osoby posiadające broń i amunicję do broni palnej w celach kolekcjonerskich oraz pamiątkowych, w przypadku przechowywania tej broni i amunicji poza urządzeniami spełniającymi wymagania co najmniej klasy S1 według normy PN-EN 14450, mogą je przechowywać:","w gablotach przeznaczonych do przechowywania broni;","na specjalnie przystosowanych regałach;","przechowywanie broni i amunicji poza urządzeniami spełniającymi wymagania co najmniej klasy S1 według norm PN-EN 14450 jest zabronione.","A"
152,"(§8 ust. 1 rozporządzenia w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji) Broń palną nosi się:","wyłącznie w kasetach na broń;","w pudełku, w którym zakupiono broń;","kaburach lub futerałach.","C"
153,"(§8 ust. 2 rozporządzenia w sprawie przechowywania, noszenia oraz ewidencjonowania broni i amunicji) Broń palną przeznaczoną do ochrony osobistej nosi się:","w sposób jak najmniej widoczny;","w sposób umożliwiający jej szybkie dobycie;","w sposób widoczny, w kaburze przylegającej do ciała.","A"
154,"(Art. 33 ust. 1) Zakaz noszenia lub przemieszczania w stanie rozładowanym broni i amunicji, na obszarze całego państwa lub na określonych obszarach, na czas określony, w odniesieniu do wszelkiej broni lub niektórych jej rodzajów, może wprowadzić:","Prezydent, w drodze rozporządzenia;","minister właściwy do spraw wewnętrznych, w drodze rozporządzenia;","Komendant Główny Policji, w drodze zarządzenia.","B"
155,"(Art. 34) Przewóz broni i amunicji przez terytorium Rzeczypospolitej Polskiej może nastąpić na podstawie:","zaświadczenia wydanego przez właściwego konsula Rzeczypospolitej Polskiej;","zgody właściwego organu Policji;","paszportu.","A"
156,"(Art. 34) Przewóz broni i amunicji przez terytorium Rzeczypospolitej Polskiej, przez obywateli państwa członkowskiego Unii Europejskiej może nastąpić na podstawie:","paszportu;","zgody właściwego organu Policji;","Europejskiej karty broni palnej.","C"
157,"(Art. 35) Przewożenie broni i amunicji środkami transportu publicznego:","jest zabronione;","jest dopuszczalne przy zachowaniu niezbędnych środków bezpieczeństwa, pod warunkiem, że broń i amunicja są zabezpieczone w sposób uniemożliwiający powstanie zagrożenia życia, zdrowia lub mienia;","jest dozwolone wyłącznie za zgodą właściwego organu Policji.","B"
158,"(Art. 35) Przewożenie broni i amunicji w kabinach pasażerskich statków powietrznych przez osoby inne niż specjalnie do tego upoważnione na podstawie odrębnych przepisów jest:","zakazane;","dozwolone;","dozwolone wyłącznie za zgodą właściwego organu Policji.","A"
159,"(§2 ust. 1 rozporządzenia w sprawie przewożenia broni i amunicji środkami transportu publicznego) W środkach transportu publicznego, służących do przewozu pasażerów, broń przewozi się:","w stanie załadowanym, z amunicją w magazynkach nabojowych;","w stanie rozładowanym, bez amunicji w komorze nabojowej i w magazynkach nabojowych z wyłączeniem broni do ochrony osobistej oraz ochrony osób i mienia;","w środkach transportu publicznego przewożenie broni jest zabronione.","B"
160,"(§2 ust. 2 rozporządzenia w sprawie przewożenia broni i amunicji środkami transportu publicznego) W środkach transportu publicznego, służących do przewozu pasażerów, broń do ochrony osobistej, ochrony bezpieczeństwa innych osób oraz mienia:","może być załadowana bez wprowadzonego naboju do komory nabojowej i przewożona w stanie zabezpieczonym;","musi być rozładowana, bez amunicji w komorze nabojowej i w magazynkach oraz przewożona w stanie zabezpieczonym;","może być załadowana z wprowadzonym nabojem do komory nabojowej i przewożona w stanie zabezpieczonym.","A"
161,"(§3 ust. 1 rozporządzenia w sprawie przewożenia broni i amunicji środkami transportu publicznego) Amunicję przewozi się środkami transportu publicznego:","przy zachowaniu niezbędnych wymogów bezpieczeństwa, wykluczających możliwość przypadkowej eksplozji, w ilości do 200 sztuk;","przy zachowaniu niezbędnych wymogów bezpieczeństwa, wykluczających możliwość przypadkowej eksplozji, w ilości uzasadnionej potrzebami osoby przewożącej;","odpowiedzi a. i b. są nieprawidłowe.","B"
162,"(§3 ust. 2 rozporządzenia w sprawie przewożenia broni i amunicji środkami transportu publicznego) Amunicję w środkach transportu przewozi się:","w opakowaniach fabrycznych przeznaczonych do sprzedaży detalicznej lub w pudełkach i pojemnikach, w sposób uniemożliwiający uderzenie w spłonkę naboju;","w magazynkach nabojowych;","przewożenie amunicji w środkach transportu jest zabronione.","A"
163,"(§5 rozporządzenia w sprawie przewożenia broni i amunicji środkami transportu publicznego) Broń i amunicję w pasażerskich statkach powietrznych przewozi się:","w kasetce spełniającej wymagania co najmniej klasy S1 według normy PN-EN 14450;","w bagażu podręcznym, informując o powyższym fakcie kapitana statku;","w lukach bagażowych lub w miejscu wskazanym przez przewoźnika, jako bagaż rejestrowany, do którego pasażerowie nie mają dostępu.","C"
164,"(Art. 36) Przesyłanie broni lub amunicji za pośrednictwem operatorów świadczących usługi pocztowe jest:","zabronione;","dozwolone o ile świadczą oni tego rodzaju usługi;","dopuszczalne za zgodą właściwego organu Policji.","B"
165,"(Art. 37 ust. 1) Przywóz broni i amunicji, z państw niebędących państwami członkowskimi Unii Europejskiej, przez obywateli polskich wymaga:","uprzedniego wydania zaświadczenia przez właściwego konsula Rzeczypospolitej Polskiej;","uprzedniego wydania zgody właściwego organu Policji;","poświadczenia uprzedniej zgody przewozowej i zgody przewozowej.","A"
166,"(Art. 37a) Osobom deklarującym zakup broni palnej lub amunicji w innym państwie członkowskim Unii Europejskiej właściwy terytorialnie komendant wojewódzki Policji, na ich wniosek:","poświadcza zgodę przewozową;","poświadcza uprzednią zgodę przewozową;","wydaje zaświadczenie uprawniające do nabycia broni.","B"
167,"(Art. 38 ust. 1) Wywóz broni i amunicji do państwa niebędącego państwem członkowskim Unii Europejskiej przez obywateli polskich wymaga:","zaświadczenia wydanego przez właściwego konsula Rzeczypospolitej Polskiej;","uzyskaniu zgody właściwego organu państwa docelowego;","zgody właściwego organu Policji.","C"
168,"(Art. 38 ust. 2) Wywóz broni i amunicji za granicę przez obywateli polskich nie wymaga zgody właściwego organu Policji w przypadku:","wyjazdu w celach turystycznych, na okres nie dłuższy niż 90 dni;","wydania Europejskiej karty broni palnej, uprawniającej do wywozu broni na terytorium państw członkowskich Unii Europejskiej;","wydania legitymacji osoby dopuszczonej do posiadania broni.","B"
169,"(Art. 43a) Komendant wojewódzki Policji odmawia poświadczenia uprzedniej zgody przewozowej i zgody przewozowej, jeżeli:","zachodzą okoliczności uzasadniające cofnięcie pozwolenia na broń;","nie uiszczono opłaty skarbowej za ich poświadczenie;","odpowiedzi a. i b. są prawidłowe.","A"
170,"(Art. 45) Broń palna oraz inna broń zdolna do rażenia celów na odległość może być używana w celach szkoleniowych i sportowych:","z dala od skupisk ludzkich;","na prywatnych posesjach;","tylko na strzelnicach.","C"
171,"(Art. 46 ust. 1) Strzelnice powinny być zlokalizowane, zbudowane i zorganizowane w sposób:","nienaruszający wymogów związanych z ochroną środowiska;","wykluczający możliwość wydostania się poza ich obręb pocisku wystrzelonego z broni ze stanowiska strzeleckiego w sposób zgodny z regulaminem strzelnicy;","odpowiedzi a. i b. są prawidłowe.","C"
172,"(Art. 46 ust. 2) Szczegółowe zasady zachowania bezpieczeństwa na strzelnicy określa:","regulamin strzelnicy;","statut strzelnicy;","prowadzący strzelanie.","A"
173,"(Rozdział 1 ust. 1 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Za bezpieczeństwo użytkowników strzelnicy oraz osób im towarzyszących odpowiada:","właściciel strzelnicy;","zarządca strzelnicy;","prowadzący strzelanie.","C"
174,"(Rozdział 1 ust. 1 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Stanowiska strzeleckie dla osób korzystających ze strzelnicy:","wyznacza prowadzący strzelanie;","osoby korzystające ze strzelnicy wyznaczają sobie same;","wyznacza właściciel strzelnicy.","A"
175,"(Rozdział 1 ust. 2 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Osobom towarzyszącym osobom korzystającym ze strzelnicy:","zabrania się przebywania na terenie strzelnicy;","zabrania się wchodzenia na stanowiska strzeleckie oraz styczności z bronią;","zabrania się wnoszenia jedzenia i picia na teren strzelnic.","B"
176,"(Rozdział 1 ust. 2 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Używanie broni innych osób korzystających ze strzelnicy jest:","zabronione;","zabronione bez zgody prowadzącego strzelanie;","zabronione bez zgody jej użytkownika.","C"
177,"(Rozdział 1 ust. 2 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Spożywanie alkoholu lub używanie środków odurzających oraz przebywanie osób będących pod ich wpływem na strzelnicy jest:","dozwolone pod warunkiem wynajęcia strzelnicy przez zorganizowaną grupę osób;","dozwolone za zgodą właściciela strzelnicy;","zabronione.","C"
178,"(Rozdział 2 ust. 2 wzorcowego regulaminu bezpiecznego funkcjonowania strzelnic) Na strzelnicy, wyjmowanie broni odbywa się wyłącznie na stanowisku strzeleckim lub treningowym tylko:","na polecenie prowadzącego strzelanie lub trening strzelecki;","za zgodą właściciela strzelnicy;","za zgodą zarządcy strzelnicy.","A"
